INFO: 26-10-2022 18:13:59 __init__(111) -- This is drone log from Drogno_1
INFO: 26-10-2022 18:15:33 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 79.50	msg/s 0.0
INFO: 26-10-2022 18:15:34 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.69 1.47 2.64	yaw: 77.81	msg/s 0.0
INFO: 26-10-2022 18:15:36 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.69	msg/s 0.0
INFO: 26-10-2022 18:15:37 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.44	msg/s 0.0
INFO: 26-10-2022 18:15:38 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.44	msg/s 0.0
INFO: 26-10-2022 18:15:39 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.31	msg/s 0.0
INFO: 26-10-2022 18:15:40 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 49	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.62	msg/s 0.0
INFO: 26-10-2022 18:15:41 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 78.81	msg/s 0.0
INFO: 26-10-2022 18:15:42 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.56	msg/s 0.0
INFO: 26-10-2022 18:15:43 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.46 2.66	yaw: 78.00	msg/s 0.0
INFO: 26-10-2022 18:15:44 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.56	msg/s 0.0
INFO: 26-10-2022 18:15:45 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.88	msg/s 0.0
INFO: 26-10-2022 18:15:47 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 79.81	msg/s 0.0
INFO: 26-10-2022 18:15:48 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.62	msg/s 0.0
INFO: 26-10-2022 18:15:49 log_status(397) -- Drogno_1: ready	battery: 4.19                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.56	msg/s 0.0
INFO: 26-10-2022 18:15:50 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 78.38	msg/s 0.0
INFO: 26-10-2022 18:15:51 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.19	msg/s 0.0
INFO: 26-10-2022 18:15:52 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 50	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 77.00	msg/s 0.0
INFO: 26-10-2022 18:15:53 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.70 1.47 2.65	yaw: 77.38	msg/s 0.0
INFO: 26-10-2022 18:15:54 log_status(397) -- Drogno_1: ready	battery: 4.2                    	kalman var: 0.0 0.0 0.0                    	batterySag: 0.5	link quality: 51	flight time: 0s                    	pos 1.71 1.47 2.66	yaw: 77.69	msg/s 0.0
