INFO: 28-10-2022 20:01:24 __init__(112) -- This is drone log from Drogno_3
INFO: 28-10-2022 20:02:43 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.064 3.064 0.015                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.61 -22.25 -1.62	yaw: 0.00	msg/s 0.9
INFO: 28-10-2022 20:02:44 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.691 3.691 0.017                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.68 -26.08 -1.91	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:45 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.273 4.273 0.018                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.74 -29.52 -2.16	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:46 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.031 5.031 0.019                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.80 -33.88 -2.49	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:47 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.73 5.73 0.02                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.85 -37.75 -2.78	yaw: -0.00	msg/s 1.8
INFO: 28-10-2022 20:02:48 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.645 6.645 0.021                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.92 -42.69 -3.16	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:02:49 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.473 7.473 0.022                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.97 -47.06 -3.49	yaw: -0.01	msg/s 1.8
INFO: 28-10-2022 20:02:50 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.539 8.539 0.024                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.03 -52.50 -3.90	yaw: -0.01	msg/s 1.8
INFO: 28-10-2022 20:02:51 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 9.508 9.508 0.025                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.08 -57.34 -4.27	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:53 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 10.75 10.75 0.026                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.13 -63.38 -4.74	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:02:54 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 11.867 11.867 0.027                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos 1.17 -68.69 -5.15	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:02:55 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 13.297 13.297 0.028                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.20 -75.31 -5.66	yaw: 0.01	msg/s 1.8
INFO: 28-10-2022 20:02:56 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 14.578 14.578 0.029                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.21 -81.12 -6.11	yaw: 0.01	msg/s 2.7
INFO: 28-10-2022 20:02:57 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 16.203 16.203 0.031                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.22 -88.31 -6.67	yaw: 0.01	msg/s 1.8
INFO: 28-10-2022 20:02:58 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 17.641 17.641 0.032                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 1.21 -94.56 -7.16	yaw: 0.02	msg/s 0.9
INFO: 28-10-2022 20:02:59 log_status(187) -- Drogno_3: ready	battery: 4.19                    	kalman var: 0.001 0.001 0.0                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.00 -0.01 -0.00	yaw: 0.00	msg/s 0.9
INFO: 28-10-2022 20:03:00 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.019 0.019 0.002                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.01 -0.19 -0.01	yaw: -0.00	msg/s 0.0
INFO: 28-10-2022 20:03:01 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.069 0.069 0.003                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.02 -0.67 -0.05	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:03:02 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.136 0.136 0.004                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.03 -1.30 -0.11	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:03:04 log_status(187) -- Drogno_3: BAD kalman	battery: 4.19                    	kalman var: 0.253 0.253 0.005                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.05 -2.35 -0.19	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:03:05 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.383 0.383 0.006                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.07 -3.45 -0.28	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:03:06 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.579 0.579 0.007                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.07 -5.05 -0.41	yaw: -0.00	msg/s 0.9
INFO: 28-10-2022 20:03:07 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 0.777 0.777 0.008                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.07 -6.60 -0.54	yaw: 0.00	msg/s 0.9
INFO: 28-10-2022 20:03:08 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.063 1.063 0.01                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.06 -8.76 -0.72	yaw: 0.02	msg/s 0.0
INFO: 28-10-2022 20:03:09 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.404 1.404 0.011                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.04 -11.23 -0.93	yaw: 0.02	msg/s 1.8
INFO: 28-10-2022 20:03:10 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 1.731 1.731 0.012                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos 0.02 -13.52 -1.12	yaw: 0.01	msg/s 1.8
INFO: 28-10-2022 20:03:11 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.182 2.182 0.013                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.02 -16.56 -1.38	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:03:12 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 2.602 2.602 0.014                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.06 -19.31 -1.61	yaw: 0.00	msg/s 1.8
INFO: 28-10-2022 20:03:13 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.176 3.176 0.016                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.11 -22.95 -1.91	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 20:03:15 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 3.699 3.699 0.017                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.17 -26.16 -2.18	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 20:03:16 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 4.402 4.402 0.018                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.24 -30.34 -2.53	yaw: 0.01	msg/s 0.0
INFO: 28-10-2022 20:03:17 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.047 5.047 0.019                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.31 -34.06 -2.84	yaw: 0.01	msg/s 1.8
INFO: 28-10-2022 20:03:18 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 5.895 5.895 0.02                    	batterySag: 0.5	link quality: 37	flight time: 0s                    	pos -0.41 -38.84 -3.24	yaw: 0.01	msg/s 2.7
INFO: 28-10-2022 20:03:19 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 6.656 6.656 0.021                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.50 -43.00 -3.58	yaw: 0.01	msg/s 1.8
INFO: 28-10-2022 20:03:20 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 7.656 7.656 0.023                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.64 -48.34 -4.02	yaw: 0.01	msg/s 0.9
INFO: 28-10-2022 20:03:21 log_status(187) -- Drogno_3: out of BOX	battery: 4.19                    	kalman var: 8.562 8.562 0.024                    	batterySag: 0.5	link quality: 38	flight time: 0s                    	pos -0.77 -53.03 -4.41	yaw: 0.00	msg/s 0.9
